ide_detudc,con_udc,con_detudc,dsc_desc1,dsc_desc2,udc_default
100000,10,0,NO ESPECIFICADO,,
100001,10,1,AGUASCALIENTES,,90001
100002,10,2,ASIENTOS,,90001
100003,10,3,CALVILLO,,90001
100004,10,4,COSIO,,90001
100005,10,5,JESUS MARIA,,90001
100006,10,6,PABELLON DE ARTEAGA,,90001
100007,10,7,RINCON DE ROMOS,,90001
100008,10,8,SAN JOSE DE GRACIA,,90001
100009,10,9,TEPEZALA,,90001
100010,10,10,ENSENADA,,90002
100011,10,11,MEXICALI,,90002
100012,10,12,TECATE,,90002
100013,10,13,TIJUANA,,90002
100014,10,14,COMONDU,,90003
100015,10,15,MULEGE,,90003
100016,10,16,LA PAZ,,90003
100017,10,17,LOS CABOS,,90003
100018,10,18,CALKINI,,90004
100019,10,19,CAMPECHE,,90004
100020,10,20,CARMEN,,90004
100021,10,21,CHAMPOTON,,90004
100022,10,22,HECELCHAKAN,,90004
100023,10,23,HOPELCHEN,,90004
100024,10,24,PALIZADA,,90004
100025,10,25,TENABO,,90004
100026,10,26,ABASOLO,,90007
100027,10,27,ACU¥A,,90007
100028,10,28,ALLLENDE,,90007
100029,10,29,ARTEAGA,,90007
100030,10,30,CANDELA,,90007
100031,10,31,COACALCO,,90001
100032,10,32,CASTA¥OS,,90007
100033,10,33,CUATRO CIENEGAS,,90007
100034,10,34,ESCOBEDO,,90007
100035,10,35,FRANCISCO I. MADERO,,90007
100036,10,36,FRONTERA,,90007
100037,10,37,GENERAL CEPEDA,,90007
100038,10,38,GUERRERO,,90007
100039,10,39,HIDALGO,,90007
100040,10,40,JIMENEZ,,90007
100041,10,41,JUAREZ,,90007
100042,10,42,LAMADRID,,90007
100043,10,43,MATAMOROS,,90007
100044,10,44,MONCLOVA,,90007
100045,10,45,MORELOS,,90007
100046,10,46,MUZQUIZ,,90007
100047,10,47,NADADORES,,90007
100048,10,48,NAVA,,90007
100049,10,49,OCAMPO,,90007
100050,10,50,PARRAS,,90007
100051,10,51,PIEDRAS NEGRAS,,90007
100052,10,52,PROGRESO,,90007
100053,10,53,RAMOS ARIZPE,,90007
100054,10,54,SABINAS,,90007
100055,10,55,SACRAMENTO,,90007
100056,10,56,SALTILLO,,90007
100057,10,57,SAN BUENAVENTURA,,90007
100058,10,58,SAN JUAN DE SABINAS,,90007
